"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My major career goal is to be an actor in a cold &amp; flu medicine commercial. We can’t all be award winners.",FALSE,0,NA,2019-03-05 21:02:41,FALSE,NA,"1103038144239337472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cuteandcaramel",0,FALSE,FALSE,NA,NA
"2","RT @joeylawrence: Have a great wknd y’all! Im at the docs. Got this flu/cold thing that’s flying around. Ugh.<U+0001F61E>.... This #actor #producer #s…",FALSE,0,NA,2019-03-05 20:42:53,FALSE,NA,"1103033161724895232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","happy02013guy",11,TRUE,FALSE,NA,NA
"3","And it starts<U+0001F621>throat hurts, head hurts, cough, can't get warm. I told him he was spreading his cooties. I am so gla… https://t.co/mXvNW65XxC",FALSE,0,NA,2019-03-05 20:41:26,TRUE,NA,"1103032797055246341",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","glamourfor5",0,FALSE,FALSE,NA,NA
"4","Guest Column: So you’ve got the flu, or maybe just a common cold. Now what?
https://t.co/HWyAeiENeD",FALSE,1,NA,2019-03-05 20:30:01,FALSE,NA,"1103029921155334151",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LasVegasSun",0,FALSE,FALSE,NA,NA
"5","Maybe fatigue is caused by the body's immune system always fighting against the crazy cells such as when one is fat… https://t.co/UXeAvAjgQU",FALSE,1,"Mary88180033",2019-03-05 20:06:38,TRUE,"1103024035787497473","1103024036945244161","866026318629974016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mary88180033",0,FALSE,FALSE,NA,NA
"6","RT @SSSTriple_S: As the cold and flu season continues on, it is accompanied by emergency clean up calls in the building. One of the most un…",FALSE,0,NA,2019-03-05 20:05:23,FALSE,NA,"1103023724264022026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HouseSanitary",1,TRUE,FALSE,NA,NA
"7","Happy <U+0001F606> #pancakeday ! #cheatday !!! 3 days no #gym...flu / cold crap! #nutrition #personaltrainer #personaltrainer… https://t.co/3jfsvxWzyt",FALSE,0,NA,2019-03-05 20:04:04,TRUE,NA,"1103023390766428160",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","antsports12",0,FALSE,FALSE,NA,NA
"8","New #AmazonGiveaway <U+0001F603><U+0001F4E6> (1:800)

Aero Allergy Defense (Keto, Aller-7, Vitamin C, Respiratory Health, Immune Support,… https://t.co/oIReLfwWpP",FALSE,2,NA,2019-03-05 19:58:16,TRUE,NA,"1103021932776054784",NA,"<a href=""http://giveaway.plus/"" rel=""nofollow"">GiveawayPlus</a>","Giveaway_Plus",0,FALSE,FALSE,NA,NA
"9","I finally got over my stomach flu just to come down with a cold. https://t.co/qbfEMJKNMu",FALSE,0,NA,2019-03-05 19:53:55,FALSE,NA,"1103020839790764032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmilyChandon",0,FALSE,FALSE,NA,NA
"10","#ad When cold and flu symptoms hit my home, I turn to Mucinex®. Join #MucusFighters to learn how to care for your f… https://t.co/4Uy9aHv5a5",FALSE,0,NA,2019-03-05 19:40:41,TRUE,NA,"1103017506690813953",NA,"<a href=""http://www.singleclicksharing.com"" rel=""nofollow"">Single Click Sharing<U+2120></a>","msdawn35058",0,FALSE,FALSE,NA,NA
